제목,이미지URL,촬영장소,검색키워드,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시,사진작가
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/49/2801849.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801849,17,20211220110544,20211220110812,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/46/2801846.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801846,17,20211220110450,20211220110527,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/45/2801845.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801845,17,20211220105847,20211220105934,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/90/2711590.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2711590,17,20210325164113,20210325164212,한국관광공사 이선지
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/15/2628215.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 동해바다, 바닷가, 서핑",2628215,17,20191021171822,20191021171958,한국관광공사 김지호
대진해변,http://tong.visitkorea.or.kr/cms2/website/84/2800684.jpeg,강원도 동해시 대신동,"대진해변, 강원도 동해시, 대진해수욕장, 동해바다, 서핑, 수상스포츠, 해양스포츠",2800684,17,20211216104832,20211216104853,강원지사
대진해변,http://tong.visitkorea.or.kr/cms2/website/81/2800681.jpeg,강원도 동해시 대신동,"대진해변, 강원도 동해시, 대진해수욕장, 동해바다, 서핑, 수상스포츠, 해양스포츠",2800681,17,20211216104720,20211216104736,강원지사
대진해변,http://tong.visitkorea.or.kr/cms2/website/70/2800670.jpeg,강원도 동해시 대신동,"대진해변, 강원도 동해시, 대진해수욕장, 동해바다, 서핑, 수상스포츠, 해양스포츠",2800670,17,20211216104159,20211216104354,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/35/2562935.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562935,17,20181015105258,20181015105309,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/34/2562934.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562934,17,20181015105235,20181015105249,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/32/2562932.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562932,17,20181015105150,20181015105200,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/31/2562931.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562931,17,20181015105131,20181015105141,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/30/2562930.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562930,17,20181015105106,20181015105122,한국관광공사 김지호
