TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
학동 흑진주 몽돌해변,경상남도 거제시 동부면 학동6길 18-1,http://tong.visitkorea.or.kr/cms/resource/42/3096042_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/3096042_image3_1.jpg,127658,12,0,,A01,A0101,A01011200,Type1,128.6402496042,34.7733274246,6,20031027090000,20250319181641,,36,1
승봉도 이일레 해변,인천광역시 옹진군 자월면 승봉로116번길,http://tong.visitkorea.or.kr/cms/resource/29/3355829_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/3355829_image3_1.jpg,125498,12,0,,A01,A0101,A01011200,Type3,126.3012771320,37.1655916496,6,20031208090000,20250319152305,,2,9
백령도 콩돌해변,인천광역시 옹진군 백령면,http://tong.visitkorea.or.kr/cms/resource/40/3352640_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3352640_image3_1.jpg,561002,12,1,,A01,A0101,A01011200,Type3,124.6980823945,37.9234068099,6,20080519190002,20250319152029,,2,9
작은풀안 해변,인천광역시 옹진군 자월면 대이작로,http://tong.visitkorea.or.kr/cms/resource/84/3352984_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3352984_image3_1.jpg,799282,12,0,,A01,A0101,A01011200,Type3,126.2589141505,37.1720401708,6,20090908021119,20250319150405,,2,9
장봉도 옹암해변,인천광역시 옹진군 북도면 장봉로 227,http://tong.visitkorea.or.kr/cms/resource/54/3355854_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/3355854_image3_1.jpg,125497,12,0,,A01,A0101,A01011200,Type3,126.3679055429,37.5310225700,6,20031002090000,20250319144754,,2,9
영흥도 십리포해변,인천광역시 옹진군 영흥면 영흥북로 420-26,http://tong.visitkorea.or.kr/cms/resource/15/3306615_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3306615_image3_1.jpg,583015,12,0,,A01,A0101,A01011200,Type3,126.4826797024,37.2808536498,6,20080704012720,20250319144328,,2,9
켄싱턴해변,강원특별자치도 고성군 토성면 동해대로 4800,http://tong.visitkorea.or.kr/cms/resource/22/3383922_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3383922_image3_1.JPG,2714644,12,0,,A01,A0101,A01011200,Type3,128.5724224583,38.2429470182,6,20210427200322,20250319143925,,32,2
큰풀안 해변,인천광역시 옹진군 자월면 대이작로160번길,http://tong.visitkorea.or.kr/cms/resource/94/3303094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3303094_image3_1.jpg,799958,12,0,,A01,A0101,A01011200,Type3,126.2630249329,37.1703682134,6,20090909003303,20250319142924,,2,9
계남해변,인천광역시 옹진군 자월면 대이작로 412-1,http://tong.visitkorea.or.kr/cms/resource/28/2786828_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2786828_image2_1.jpg,2782215,12,0,,A01,A0101,A01011200,Type3,126.2786654689,37.1594114201,6,20211126235247,20250319142443,,2,9
갯마을해변,강원특별자치도 양양군 현남면 안남애길 48,http://tong.visitkorea.or.kr/cms/resource/76/3387376_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/76/3387376_image3_1.JPG,2714611,12,0,(남애리),A01,A0101,A01011200,Type3,128.7854485550,37.9448496992,6,20210427031627,20250319133042,,32,7
원포리해변,강원특별자치도 양양군 현남면 원포리,http://tong.visitkorea.or.kr/cms/resource/74/3387474_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/74/3387474_image3_1.JPG,2714607,12,0,1-11,A01,A0101,A01011200,Type3,128.7921261456,37.9314541606,6,20210427031334,20250319131718,,32,7
월정리해변(월정리해수욕장),제주특별자치도 제주시 구좌읍 해맞이해안로 485,http://tong.visitkorea.or.kr/cms/resource/36/3011836_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3011836_image3_1.jpg,1918639,12,0,,A01,A0101,A01011200,Type1,126.7982424575,33.5550758560,6,20140513194334,20250318215407,,39,4
김녕성세기해변 (김녕해수욕장),제주특별자치도 제주시 구좌읍 구좌해안로 237,http://tong.visitkorea.or.kr/cms/resource/91/3480191_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3480191_image3_1.jpg,129400,12,0,,A01,A0101,A01011200,Type1,126.7596485488,33.5566778337,6,20061121090000,20250318214956,,39,4
